column 1	column 2	column 3	Product	GO terms (biological process)
pyrL	-1.99683114966043	0.000592167624914564	<i>pyrBI</i> operon leader peptide	transcriptional attenuation // pyrimidine nucleobase biosynthetic process // pyrimidine nucleotide biosynthetic process
artM	-1.99535362107936	0.000202434844438156	L-arginine ABC transporter membrane subunit ArtM	transmembrane transport // amino acid transport // L-arginine import across plasma membrane
nusA	-1.98838085181678	0.000228919875326123	transcription termination/antitermination protein NusA	regulation of termination of DNA-templated transcription // regulation of DNA-templated transcription elongation // ribosome biogenesis // protein complex oligomerization // DNA-templated transcription termination // transcription antitermination
ftsZ	-1.98074022697873	0.000111697625592921	cell division protein FtsZ	cell septum assembly // FtsZ-dependent cytokinesis // division septum assembly // cell division // protein polymerization
aroK	-1.97187889991367	0.000133017326089548	shikimate kinase 1	carboxylic acid metabolic process // aromatic amino acid family biosynthetic process // amino acid biosynthetic process // response to antibiotic // chorismate biosynthetic process
stpA	-1.97106927309288	0.000252888085193379	DNA-binding transcriptional repressor StpA with RNA chaperone activity	negative regulation of DNA-templated transcription // regulation of DNA-templated transcription
artQ	-1.95323822771459	0.000667659150055448	L-arginine ABC transporter membrane subunit ArtQ	transmembrane transport // amino acid transport // L-arginine import across plasma membrane
frmA	1.95180550366391	1.01999412186196e-05	<i>S</i>-(hydroxymethyl)glutathione dehydrogenase	small molecule metabolic process // formaldehyde catabolic process
mukE	-1.95062617714266	0.000228919875326123	chromosome partitioning protein MukE	DNA replication // cell division // chromosome condensation // chromosome segregation
dacC	-1.94080410384198	0.000184794084706582	D-alanyl-D-alanine carboxypeptidase DacC	peptidoglycan metabolic process // cell wall organization // proteolysis // peptidoglycan biosynthetic process // regulation of cell shape // response to xenobiotic stimulus
argG	-1.93950898998604	0.0007033643109752	argininosuccinate synthetase	amino acid biosynthetic process // argininosuccinate metabolic process // urea cycle // L-arginine biosynthetic process
artJ	-1.93923267089189	0.000300742059259192	L-arginine ABC transporter periplasmic binding protein	monoatomic ion transmembrane transport // L-arginine transmembrane transport // amino acid transport // L-arginine import across plasma membrane
hisJ	-1.9380077283201	0.000210236942136704	histidine ABC transporter periplasmic binding protein	L-histidine import across plasma membrane // amino acid transport // L-histidine transport
hisP	-1.93048844733238	0.00042696353754384	lysine/arginine/ornithine ABC transporter / histidine ABC transporter, ATP binding subunit	amino acid import across plasma membrane // amino acid transport // amino acid transmembrane transport // L-arginine import across plasma membrane // L-lysine import across plasma membrane // L-ornithine import across plasma membrane // L-histidine transmembrane transport // L-histidine import across plasma membrane
gltB	-1.9209233204979	0.000246764987258928	glutamate synthase subunit GltB	amino acid biosynthetic process // ammonia assimilation cycle // L-glutamate biosynthetic process // glutamate biosynthetic process
mcaS	-1.91988439572477	0.00042696353754384	small regulatory RNA McaS	regulatory ncRNA-mediated post-transcriptional gene silencing // regulation of bacterial-type flagellum-dependent cell motility // negative regulation of single-species biofilm formation // negative regulation of binding // positive regulation of translational initiation // negative regulation of translational initiation
lysO	-1.91859479127606	0.000397411670618285	L-lysine/thialysine exporter	amino acid transport // L-lysine transmembrane transport
hisL	-1.9110785812155	0.00042696353754384	<i>his</i> operon leader peptide	amino acid biosynthetic process // L-histidine biosynthetic process
hchA	-1.90396943513135	0.000397411670618285	protein/nucleic acid deglycase 1	DNA damage response // lactate biosynthetic process // guanine deglycation // DNA repair // RNA repair // protein deglycation // protein repair // response to acidic pH // response to methylglyoxal // methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione
clpP	1.9027313336995	1.42575376080828e-07	ATP-dependent Clp protease proteolytic subunit	positive regulation of programmed cell death // proteasomal protein catabolic process // proteolysis // response to heat // protein quality control for misfolded or incompletely synthesized proteins // response to radiation // response to temperature stimulus
argI	-1.89202159347002	0.00042696353754384	ornithine carbamoyltransferase ArgI	amino acid biosynthetic process // amino acid metabolic process // citrulline biosynthetic process // L-arginine biosynthetic process via ornithine // ornithine metabolic process // L-arginine biosynthetic process
argF	-1.88918236242899	0.000404826462781933	CP4-6 prophage; ornithine carbamoyltransferase ArgF	amino acid biosynthetic process // amino acid metabolic process // citrulline biosynthetic process // L-arginine biosynthetic process via ornithine // ornithine metabolic process // DNA damage response // L-arginine biosynthetic process
potF	-1.88864063332505	0.00044365002871595	putrescine ABC transporter periplasmic binding protein	polyamine transport // putrescine transport
artP	-1.88453044120926	0.000324262978178235	L-arginine ABC transporter ATP binding subunit	amino acid transport // amino acid transmembrane transport // L-arginine import across plasma membrane
ydgI	-1.8837602379355	0.000453019886530953	putative arginine:ornithine antiporter	carboxylic acid transmembrane transport // amino acid transmembrane transport // organic cation transport // transmembrane transport // amino acid transport
cvpA	-1.88236593016103	0.000481077198051544	colicin V production protein	toxin biosynthetic process
argC	-1.88156545025949	0.00050378865542454	N-acetylglutamylphosphate reductase	amino acid biosynthetic process // L-arginine biosynthetic process
yhcC	-1.87989876434461	0.000714486853510614	radical SAM family oxidoreductase YhcC	
